 publication_title;print_identifier;online_identifier;date_first_issue_online;num_first_vol_online;num_first_issue_online;date_last_issue_online;num_last_vol_online;num_last_issue_online;title_url;first_author;title_id;embargo_info;coverage_depth;coverage_notes;publisher_name;publication_type;date_monograph_published_print;date_monograph_published_online;monograph_volume;monograph_edition;first_editor;parent_publication_title_id;preceding_publication_title_id;access_type;oclc_number
Forging Identities in the prehistory of Old Europe. Dividuals, individuals and communities, 7000-3000 BC;9789088909481;9789088909504;2020;;;;;;https://www.sidestone.com/books/forging-identities-in-the-prehistory-of-old-europe;John Chapman;9789088909481;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2020;;;;;;;P;
Interdisciplinary analysis of the cemetery Kudachurt 14. Evaluating indicators of social inequality, demography, oral health and diet during the Bronze Age key period 2200-1650 BCE in the Northern Caucasus;9789088909030;9789088909054;2020;;;;;;https://www.sidestone.com/books/interdisciplinary-analysis-of-the-cemetery-kudachurt-14;Katharina Fuchs;9789088909030;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2020;;;;;;;P;
Law and Trade in Ancient Mesopotamia and Anatolia. Selected Papers by K.R. Veenhof ;9789088909153;9789088909177;2020;;;;;;https://www.sidestone.com/books/law-and-trade-in-ancient-mesopotamia-and-anatolia;Edited by N.J.C. Kouwenberg;9789088909153;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2020;;;;;;;P;
Spirituality in Psychotherapy. How do Psychotherapists Understand, Navigate, Experience and Integrate Spirituality in their Professional Encounters with Clients? ;9789088909320;9789088909344;2020;;;;;;https://www.sidestone.com/books/spirituality-in-psychotherapy;Amalia E.M. Carli;9789088909320;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2020;;;;;;;P;
Metaaltijden (vol. 7). Bijdragen in de studie van de metaaltijden;9789088909573;9789088909597;2020;;;;;;https://www.sidestone.com/books/metaaltijden-vol-7;Edited by M. Hendriksen, E. Norde & N. de Vries;9789088909573;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2020;;;;;;;P;
Stonehenge for the Ancestors: Part 1. Landscape and Monuments;9789088907029;9789088907043;2020;;;;;;https://www.sidestone.com/books/stonehenge-for-the-ancestors-part-1;Mike Parker Pearson, Joshua Pollard, Colin Richards, Julian Thomas, Chris Tilley & Kate Welham;9789088907029;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2020;;;;;;;P;
Cleaning and Value. Interdisciplinary Investigations;9789088909214;9789088909238;2020;;;;;;https://www.sidestone.com/books/cleaning-and-value;Edited by Isabel Bredenbröker, Christina Hanzen, Felix Kotzur;9789088909214;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2020;;;;;;;P;
Hellenistic Architecture and Human Action. A Case of Reciprocal Influence;9789088909092;9789088909115;2020;;;;;;https://www.sidestone.com/books/hellenistic-architecture-and-human-action;Edited by Annette Haug & Asja Müller;9789088909092;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2020;;;;;;;P;
Ci, Gender and Social Change among the Asmat of Papua, Indonesia;9789088909290;9789088909313;2020;;;;;;https://www.sidestone.com/books/ci-gender-and-social-change;Onesius Otenieli Daeli;9789088909290;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2020;;;;;;;P;
The Compassionate Bodhisattva. Unique Southeast Asian images of the Bodhisattva Avalokiteśvara;9789088906176;9789088906190;2020;;;;;;https://www.sidestone.com/books/the-compassionate-bodhisattva;Sofia Sundström;9789088906176;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2020;;;;;;;P;
Cultures of Stone. An Interdisciplinary Approach to the Materiality of Stone;9789088908910;9789088908934;2020;;;;;;https://www.sidestone.com/books/cultures-of-stone;Edited by Gabriel Cooney, Bernard Gilhooly, Niamh Kelly & Sol Mallía-Guest;9789088908910;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2020;;;;;;;P;
Determining Prehistoric Skin Processing Technologies. The macro and microscopic characteristics of experimental samples;9789088908361;9789088908385;2020;;;;;;https://www.sidestone.com/books/determining-prehistoric-skin-processing-technologies;Theresa Emmerich Kamper;9789088908361;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2020;;;;;;;P;
Sur les pas de l’âne dans la religion égyptienne;9789088908279;9789088908293;2020;;;;;;https://www.sidestone.com/books/sur-les-pas-de-l-ane-dans-la-religion-egyptienne;Marie Vandenbeusch;9789088908279;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2020;;;;;;;P;
Hispaniola - Hell or Home?. Decolonizing Grand Narratives about Intercultural Interactions at Concepción de la Vega (1494-1564);9789088908514;9789088908538;2020;;;;;;https://www.sidestone.com/books/hispaniola-hell-or-home;Pauline M. Kulstad-González;9789088908514;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2020;;;;;;;P;
Caribbean Figure Pendants: Style and Subject Matter. Anthropomorphic figure pendants of the late Ceramic Age in the Greater Antilles;9789088908705;9789088908729;2020;;;;;;https://www.sidestone.com/books/caribbean-figure-pendants-style-and-subject-matter;Vernon James Knight;9789088908705;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2020;;;;;;;P;
Past Societies. Human Development in Landscapes;9789088909245;9789088909269;2020;;;;;;https://www.sidestone.com/books/past-societies;Edited by Johannes Müller and Andrea Ricci;9789088909245;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2020;;;;;;;P;
Maidanets'ke. Development and decline of a Trypillia mega-site in Central Ukraine;9789088908484;9789088908507;2020;;;;;;https://www.sidestone.com/books/maidanets-ke;René Ohlrau;9789088908484;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2020;;;;;;;P;
A Human Environment. Studies in honour of 20 years Analecta editorship by prof. dr. Corrie Bakels;9789088909061;9789088909085;2020;;;;;;https://www.sidestone.com/books/a-human-environment;Edited by Victor Klinkenberg, Roos van Oosten & Carol van Driel-Murray;9789088909061;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2020;;;;;;;P;
Magical, mundane or marginal?. Deposition practices in the Early Neolithic Linearbandkeramik culture;9789088908613;9789088908637;2020;;;;;;https://www.sidestone.com/books/magical-mundane-or-marginal;Edited by Daniela Hofmann;9789088908613;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2020;;;;;;;P;
Textiel uit Egypte;9789088909276;9789088909283;2020;;;;;;https://www.sidestone.com/books/textiel-uit-egypte;Geralda Jurriaans-Helle, Veerle van Kersen, Tineke Rooijakkers and Daniel Soliman;9789088909276;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2020;;;;;;;P;
The Architecture of Mastaba Tombs in the Unas Cemetery;9789088908941;9789088908965;2020;;;;;;https://www.sidestone.com/books/the-architecture-of-mastaba-tombs-in-the-unas-cemetery;Ashley Cooke;9789088908941;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2020;;;;;;;P;
Heritage Education. Memories of the Past in the Present Caribbean Social Studies Curriculum: A View from Teacher Practice;9789088908422;9789088908446;2020;;;;;;https://www.sidestone.com/books/heritage-education;Eldris Con Aguilar;9789088908422;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2020;;;;;;;P;
Detecting and explaining technological innovation in prehistory;9789088908248;9789088908262;2020;;;;;;https://www.sidestone.com/books/detecting-and-explaining-technological-innovation-in-prehistory;Edited by Michela Spataro & Martin Furholt;9789088908248;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2020;;;;;;;P;
In die Töpfe geschaut. Biochemische und kulturgeschichtliche Studien zum früheisenzeitlichen Essen und Trinken;9789088907685;9789088907692;2019;;;;;;https://www.sidestone.com/books/in-die-toepfe-geschaut;Edited by Philipp W. Stockhammer & Janine Fries-Knoblach;9789088907685;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2019;;;;;;;P;
Islands of Salt. Historical Archaeology of Seafarers and Things in the Venezuelan Caribbean, 1624–1880;9789088908156;9789088908170;2019;;;;;;https://www.sidestone.com/books/islands-of-salt;Konrad A. Antczak;9789088908156;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2019;;;;;;;P;
Burgen in umstrittenen Landschaften. Eine Studie zur Entwicklung und Funktion von Burgen im südlichen Jütland (1232–1443);9789088908675;9789088908699;2019;;;;;;https://www.sidestone.com/books/burgen-in-umstrittenen-landschaften;Stefan Magnussen;9789088908675;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2019;;;;;;;P;
Pre-Colonial and Post-Contact Archaeology in Barbados. Past, Present, and Future Research Directions;9789088908453;9789088908477;2019;;;;;;https://www.sidestone.com/books/pre-colonial-and-post-contact-archaeology-in-barbados;Edited by Maaike S. de Waal, Niall Finneran, Matthew C. Reilly, Douglas V. Armstrong & Kevin Farmer;9789088908453;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2019;;;;;;;P;
Gender Transformations in Prehistoric and Archaic Societies;9789088908217;9789088908231;2019;;;;;;https://www.sidestone.com/books/gender-transformations-in-prehistoric-and-archaic-societies;Edited by Julia Katharina Koch & Wiebke Kirleis;9789088908217;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2019;;;;;;;P;
Megalithic monuments and social structures. Comparative studies on recent and Funnel Beaker societies;9789088907869;9789088907883;2019;;;;;;https://www.sidestone.com/books/megalithic-monuments-and-social-structures;Maria Wunderlich;9789088907869;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2019;;;;;;;P;
Creatures of Earth, Water and Sky. Essays on Animals in Ancient Egypt and Nubia;9789088907722;9789088907739;2019;;;;;;https://www.sidestone.com/books/creatures-of-earth-water-and-sky;Edited by Stéphanie Porcier, Salima Ikram & Stéphane Pasquali;9789088907722;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2019;;;;;;;P;
In the Footsteps of Honor Frost. The life and legacy of a pioneer in maritime archaeology;9789088908309;9789088908323;2019;;;;;;https://www.sidestone.com/books/in-the-footsteps-of-honor-frost;Edited by Lucy Blue;9789088908309;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2019;;;;;;;P;
Osteoarchaeology in historical context. Cemetery research from the Low Countries;9789088908330;9789088908354;2019;;;;;;https://www.sidestone.com/books/osteoarchaeology-in-historical-context;Edited by Roos van Oosten, Rachel Schats & Kerry Fast;9789088908330;;fulltext;Title is available for FREE online reading - Full PDF access available for our Library Program subscribers;Sidestone Press;monograph;2019;;;;;;;P;
